,productType,year,profit
225,재간접,2022,-18.37
226,주식형,2022,-47.74
227,재간접,2022,-21.32
228,주식형,2022,-34.77
229,재간접,2022,-41.03
230,혼합채권형,2022,-10.16
231,주식형,2022,-73.72
232,재간접,2022,-14.04
233,주식형,2022,-35.25
234,주식형,2022,-31.9
235,재간접,2022,2.95
236,재간접,2022,-23.4
237,주식형,2022,7.01
238,혼합채권형,2022,-11.01
239,재간접,2022,-34.52
240,채권형,2022,1.1
241,주식형,2022,-8.32
242,재간접,2022,4.46
243,재간접,2022,-18.36
244,주식형,2022,-27.64
245,주식형,2022,-54.2
246,채권형,2022,-11.91
247,채권형,2022,-1.1
248,재간접,2022,-1.41
249,주식형,2022,-68.16
250,재간접,2022,-24.44
251,재간접,2022,-11.17
252,재간접,2022,-2.19
253,주식형,2022,-27.31
254,재간접,2022,-3.12
255,재간접,2022,-14.58
256,주식형,2022,-48.99
257,혼합채권형,2022,-25.54
258,혼합채권형,2022,-21.55
259,혼합채권형,2022,-6.22
260,재간접,2022,-18.01
261,재간접,2022,34.78
262,재간접,2022,-19.49
263,혼합주식형,2022,-30.42
264,재간접,2022,-17.8
265,주식형,2022,-1.6
266,파생상품,2022,-26.62
267,재간접,2022,-16.76
268,재간접,2022,-18.4
269,주식형,2022,-30.97
270,주식형,2022,-30.64
271,주식형,2022,-35.91
272,재간접,2022,-26.46
273,주식형,2022,-25.75
274,재간접,2022,-20.28
275,혼합채권형,2022,-7.15
276,재간접,2022,-68.3
277,주식형,2022,-39.25
278,주식형,2022,-49.58
279,재간접,2022,-83.39
280,파생상품,2022,-29.13
281,재간접,2022,-12.8
282,주식형,2022,-17.63
283,재간접,2022,-23.13
284,재간접,2022,-15.72
285,단기금융,2022,1.45
286,주식형,2022,-23.68
287,재간접,2022,-36.63
288,재간접,2022,-2.8
289,재간접,2022,-14.41
290,채권형,2022,0.97
291,주식형,2022,-35.12
292,채권형,2022,-12.44
293,재간접,2022,-26.42
294,재간접,2022,-61.58
295,재간접,2022,-33.83
296,채권형,2022,-2.61
297,재간접,2022,-21.41
298,주식형,2022,-51.86
299,혼합채권형,2022,-4.72
300,주식형,2022,-15.14
301,주식형,2022,-24.43
302,재간접,2022,-19.24
303,재간접,2022,-19.71
