"업종별(1)",업종별(2),업종별(3),업종별(4),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"업종별(1)",업종별(2),업종별(3),업종별(4),합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타
"업종별(1)",업종별(2),업종별(3),업종별(4),소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계
"업종별(1)",업종별(2),업종별(3),업종별(4),소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계
"제조업",의복 및 모피,소계,소계,4073,2235,21,2214,2228,6,1186,0,0,282,370,4856,2309,12,2297,2295,14,540,0,0,96,1910,3396,1087,7,1080,1088,0,538,2,0,17,1751,2097,886,5,881,885,1,486,7,0,22,696,2573,765,0,765,761,4,433,55,5,71,1244,964,340,0,340,340,0,197,0,0,0,427,1338,356,58,298,354,2,244,0,0,1,738,1565,689,2,687,687,2,227,0,0,1,648,1549,750,3,748,748,2,353,0,0,1,445
"제조업",가죽 및 신발,소계,소계,611,511,132,379,246,265,19,0,0,28,53,845,583,210,373,203,379,124,0,0,82,56,1086,312,25,287,227,84,83,0,0,334,357,633,194,4,190,133,60,102,2,0,66,269,675,84,52,32,8,76,127,14,0,9,441,644,40,9,31,9,31,110,0,0,9,485,575,0,0,0,0,0,189,0,0,0,386,621,2,2,0,2,0,257,0,0,0,362,571,2,2,0,2,0,239,0,0,0,330
"제조업",나무제품,소계,소계,2185,1469,194,1275,1469,0,397,0,220,10,89,1658,880,368,512,880,0,235,49,0,1,493,1020,656,257,399,656,0,291,0,10,3,59,1140,607,123,485,430,178,306,53,70,2,101,818,73,18,56,73,0,219,17,374,0,136,391,0,0,0,0,0,280,0,24,0,87,683,231,0,231,231,0,320,0,33,0,99,695,246,0,246,246,0,363,0,33,0,53,645,253,0,253,253,0,294,0,34,0,63
"제조업",종이제품,소계,소계,7135,3126,958,2168,2855,271,2360,541,436,15,657,7567,4481,816,3665,3524,957,949,833,974,8,322,3562,1446,345,1101,1251,195,726,54,641,9,685,6171,3594,746,2848,2765,828,1531,82,129,239,595,6084,2298,94,2204,2196,102,2868,46,224,13,636,8962,5188,260,4928,4955,233,1840,5,989,64,876,4121,1555,260,1295,1555,0,1811,16,492,7,240,4658,1857,248,1609,1857,0,2148,25,435,8,186,4352,1922,255,1666,1922,0,1965,20,246,4,195
"제조업",인쇄 및 기록매체,소계,소계,3470,2288,5,2283,2053,235,127,13,0,7,1035,1485,927,0,927,539,388,82,48,0,0,429,2037,1242,322,920,1243,0,101,0,54,3,636,2384,847,7,840,768,80,231,1,0,0,1305,1132,912,15,897,912,0,24,82,7,4,103,1677,1439,185,1254,1439,0,103,110,0,0,25,449,322,97,225,264,58,96,0,0,0,31,457,361,0,361,317,44,89,0,0,0,7,345,234,0,234,234,0,101,0,0,0,11
"제조업",석유정제,소계,소계,34464,20729,2388,18341,12827,7903,11936,4,279,1328,188,18610,10248,1183,9065,6205,4043,7307,0,300,463,292,19514,11619,60,11559,4816,6803,5816,2,513,515,1049,39332,27849,725,27124,12292,15557,7150,257,830,625,2620,38424,26096,1062,25033,11042,15053,9200,350,681,272,1825,32775,19057,4097,14960,7584,11473,9625,215,901,828,2149,34789,19598,12089,7509,8122,11476,10067,348,971,946,2859,30500,14222,7718,6503,6403,7819,10472,660,1363,1108,2675,37965,20736,7069,13667,9035,11702,11668,606,1453,1052,2450
"제조업",화학제품,소계,소계,67753,44110,8915,35195,20668,23441,16046,657,1681,2146,3114,75232,43321,13688,29633,22573,20748,16519,644,2780,4041,7926,67749,36236,14005,22231,21089,15147,13983,1113,1985,5140,9293,90537,56029,5950,50079,42640,13389,16369,796,3484,7004,6855,72860,44711,10599,34112,30892,13819,14690,811,2731,4070,5848,61626,36594,9989,26605,23508,13086,15171,691,1954,3687,3529,52037,30929,5545,25384,21007,9922,13091,417,1627,3267,2706,41161,23656,3373,20283,17456,6200,10155,498,2960,1779,2113,34097,19469,2301,17168,14488,4982,8479,423,2534,1344,1848
"제조업",화학제품,기초화학물질,소계,37312,25712,4374,21338,10269,15443,8532,162,1207,640,1057,30393,20631,7246,13385,11314,9317,7480,145,639,284,1214,19379,9290,2020,7270,5445,3846,4706,142,336,261,4643,29498,22157,2419,19739,18191,3966,5161,301,637,265,977,21247,13307,4631,8676,8806,4501,4846,332,558,509,1696,21654,13565,5907,7658,7170,6394,5449,83,769,370,1419,12203,7434,1058,6376,4323,3111,3564,64,435,368,338,10523,5501,949,4551,3773,1727,2979,88,940,596,419,7375,4231,654,3576,2919,1312,1867,53,569,380,275
"제조업",화학제품,비료 및 질소화합물,소계,813,81,2,79,74,7,728,0,0,4,0,1067,472,117,355,472,0,489,0,0,106,0,1312,370,297,73,370,0,920,3,0,19,1,1621,262,123,139,216,46,801,9,187,70,293,3763,1617,143,1474,673,944,1862,29,65,43,146,4072,1190,103,1086,456,733,1995,69,150,262,407,6585,2262,317,1945,1220,1041,2997,100,361,140,726,8197,2669,638,2031,1927,743,2949,121,1505,161,791,6708,1749,246,1503,1005,744,2429,107,1518,106,799
"제조업",화학제품,합성고무 및 플라스틱,소계,12227,8122,1520,6602,4114,4007,2830,150,355,531,241,24043,10961,1879,9082,4341,6620,6254,214,1588,2103,2922,30162,17768,8896,8872,10166,7602,5543,773,1322,2320,2436,32701,16236,1266,14971,10497,5739,6484,191,1956,4393,3439,27205,16400,4164,12236,10576,5823,5624,36,1575,1674,1896,20322,12434,3343,9090,8418,4016,5183,226,786,876,817,19454,12049,3328,8721,8550,3500,4292,36,651,1232,1193,9104,5349,1389,3961,3851,1498,2455,34,289,495,481,5940,3245,841,2404,2333,911,1874,30,194,302,295
